Input (Poem),Label (Limerick or Non-Limerick),Reasoning
"The ad said, for one little fee,
You can skip all that course-work advice.
So send your tuition,
For boundless fruition!
Get your mail-order physics degree!",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"Your units are wrong! cried the guide.
Your church weighs six joules — what a feature!
And the people inside
Are four hours wide,
And eight gauss away from the preacher!",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"The lemmings get set for their run.
With one step and two steps they pace.
They take three and four,
And then head on for more, 
Without checking the limiting case.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"To figure the inches you’ve run,
Or to find the slug mass of the sun,
Forget your aversion
To unit conversion.
Just multiply (wisely!) by two.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"The skill to do math on a board
Has declined to the point of outrage.
Equations quadratica
Are solved on Math'matica,
And on birthdays we don't know our age.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"How Fermi could estimate stuff!
Like the well-known Olympic ten rings,
And the one-hundred states,
And weeks with ten dates,
And birds that all fly with one... wings.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"For things moving free or at rest,
Observe what the first law does best.
It defines a key frame,
Inertial by name,
Where the second law then is shown.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"It may seem, with the angst it can bring,
That an Atwood's machine's a harsh thing.
But you just need to tell
That F is ma,
And use conservation of string!",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"What would you have thought, Galileo,
If instead you dropped cows and did say, ""Oh!
To lessen the noise
Of the moos from the ground,
They should fall not through air but through mayo!""",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"If a monkey lets go of a tree,
The arrow will hit him, you see,
Because both heights are pared
By a half gt cubed
From what they would be with no g.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"""To three, five, and seven, assign
A name,"" the prof said, ""we'll define.""
But he botched the rule
With woeful induction,
And told us the next prime was nine.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"In Boston, lived Jack, as did Jill,
Who gained mgh on a mountain.
In their liquid pursuit, 
Jill exclaimed with a hoot,
""I think we've just climbed a landfill!""",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"While noting, ""Oh, this is just grand,""
Jack tripped on some trash in the mud.
He changed his potential
To kinetic, torrential,
But not before grabbing Jill's hand.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"Newton said as he gazed off afar,
""From here to the most distant planet,
These wond'rous ellipses
And solar eclipses
All come from a 1 over r.""",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"Limericks I cannot compose,
With noxious smells in my nose.
But this one was easy,
I only felt queasy,
Because I was sniffing my toes.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young woman named Bright,
Whose speed was much faster than light.
She set out one day,
In a relative way,
And returned on the previous night.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was an odd fellow named Gus,
When traveling he made such a fuss.
He was banned from the train,
Not allowed on a plane,
And now travels only by bus.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There once was a fly on the wall,
I wonder, why didn’t it fall?
Because its feet stuck?
Or was it just luck?
Or does gravity miss things so small?",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There once was a man from Tibet,
Who couldn't find a cigarette
So he smoked all his socks,
and got chicken-pox,
and had to go to the vet.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I need a front door for my hall,
The replacement I bought was too tall.
So I hacked it and chopped it,
And carefully lopped it,
And now the dumb thing is too small.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There once was a boy named Dan,
who wanted to fry in a pan.
He tried and he tried,
and eventually died,
that weird little boy named Dan.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A newspaperman named Fling,
Could make ""copy"" from any old thing.
But the copy he wrote,
Of a five-dollar note,
Was so good he now wears so much bling.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I know an old owl named Boo,
Every night he yelled Hoo,
Once a kid walked by,
And started to cry,
And yelled I don't have a clue!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I once fell in love with a blonde,
But found that she wasn't so fond.
Of my pet turtle named Odle,
whom I'd taught how to Yodel,
So she dumped him outside in the pond.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I'd rather have Fingers than Toes,
I'd rather have Ears than a Nose.
And as for my Hair,
I'm glad it's all there,
I'll be awfully sad, when it goes.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a Young Lady whose chin
Resembled the point of a pin:
So she had it made sharp,
And purchased a harp,
And played several tunes with her chin.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Hickory Dickory dock,
the mouse ran up the clock;
the clock struck one
and down he run;
hickory Dickory dock.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a faith-healer of Deal,
Who said: ""Although pain isn't real,
If I sit on a pin
And it punctures my skin,
I dislike what I fancy I feel.'",Limerick,"5 Lines, AABBA Rhyme Scheme"
"My dog is really quite hip,
Except when he takes a cold dip.
He looks like a fool,
when he jumps in the pool,
and reminds me of a sinking ship.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A painter, who lived in Great Britain,
Interrupted two girls with their knitting,
He said, with a sigh,
That park bench--well I,
Just painted it, right where you're sitting.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There is a young schoolboy named Mason,
Whose mom cuts his hair with a basin.
When he stands in one place,
With a scarf round his face,
It's a mystery which way he’s facing.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young schoolboy of Rye,
Who was baked by mistake in a pie.
To his mother’s disgust,
He emerged through the crust,
And exclaimed, with a yawn, Where am I?",Limerick,"5 Lines, AABBA Rhyme Scheme"
"An elderly man called Keith,
Mislaid his set of false teeth.
They'd been laid on a chair,
He'd forgot they were there,
Sat down, and was bitten beneath.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was an old man of Peru,
Who dreamt he was eating his shoe.
He woke in the night,
With a terrible fright,
And found it was perfectly true.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"The incredible Wizard of Oz,
Retired from his business becoz.
Due to up-to-date science,
To most of his clients,
He wasn't the Wizard he woz.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Once I visited France,
And learned a new, awesome dance.
I twirled,
And I swirled,
I lost my pants.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Is it me or the nature of money,
That's odd and particularly funny.
But when I have dough,
It goes quickly, you know,
And seeps out of my pockets like honey.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There once was a farmer from Leeds,
Who swallowed a packet of seeds.
It soon came to pass,
He was covered with grass,
But has all the tomatoes he needs.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A fellow jumped off a high wall,
And had a most terrible fall.
He went back to bed,
With a bump on his head,
That's why you don't jump off a wall.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A man and his lady-love, Min,
Skated out where the ice was quite thin.
Had a quarrel, no doubt,
For I hear they fell out,
What a blessing they didn't fall in!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young lady of Cork,
Whose Pa made a fortune in pork.
He bought for his daughter,
A tutor who taught her,
To balance green peas on her fork.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There once was a Martian called Zed
With antennae all over his head.
He sent out a lot
Di-di-dash-di-dot
But nobody knew what he said!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There once was a girl named Sam
Who did not eat roast beef and ham
She ate a green apple
Then drank some Snapple
Some say she eats like a lamb.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Said the man with a wink of his eye
'But I love you' and then the reply
From the girl, it was heard
'You are truly absurd!
I have only this moment walked by!'",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A wonderful bird is the Pelican.
His beak can hold more than his belly can.
He can hold in his beak
Enough food for a week!
But I’ll be darned if I know how the hellican?",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was once a great man in Japan
Whose name on Tuesday began,
It lasted through Sunday
Till twilight on Monday
And it sounded like stones in a can.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young man so benighted
He never knew when he was slighted;
He would go to a party
And eat just as hearty,
As if he'd been really invited.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was an old man from Sudan,
Whose limericks never would scan.
When told this was so,
He said, 'yes, I know.
'But I always try to get as many syllables into the last line as I possibly can.'",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A maiden at college, Miss Breeze,
Weighed down by B.A.s and Lit.D's,
Collapsed from the strain,
Said her doctor, ""It's plain
You are killing yourself—by degrees!""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A canner, exceedingly canny,
One morning remarked to his granny,
""A canner can can
Anything that he can;
But a canner can't can a can, can he?""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A mouse in her room woke Miss Dowd
She was frightened—it must be allowed.
Soon a happy thought hit her—
To scare off the critter,
She sat up in bed and meowed.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young woman named Kite,
Whose speed was much faster than light,
She set out one day,
In a relative way,
And returned on the previous night.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A flea and a fly in a flue,
Were imprisoned, so what could they do?
Said the fly, ""Let us flee!""
""Let us fly,"" said the flea,
And they flew through a flaw in the flue.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A major, with wonderful force,
Called out in Hyde Park for a horse.
All the flowers looked round,
But no horse could be found;
So he just rhododendron, of course.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A nifty young flapper named Jane
While walking was caught in the rain.
She ran--almost flew,
Her complexion did too,
And she reached home exceedingly plain.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"""There's a train at 4:04,"" said Miss Jenny.
""Four tickets I'll take; have you any?""
Said the man at the door,
""Not four for 4:04,
For four for 4:04 is too many.""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A canny young fisher named Fisher
Once fished from the edge of a fissure.
A fish with a grin
Pulled the fisherman in—
Now they're fishing the fissure for Fisher.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A cheerful old bear at the Zoo
Could always find something to do.
When it bored him, you know,
To walk to and fro,
He reversed it and walked fro and to.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"The bottle of perfume that Willie sent
Was highly displeasing to Millicent;
Her thanks were so cold
They quarreled, I'm told,
Through that silly scent Willie sent Millicent.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I bought a new Hoover today,
Plugged it in in the usual way,
Switched it on - what a din;
It sucked everything in,
Now I'm homeless with no place to stay.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A crossword compiler named Moss
Who found himself quite at a loss
When asked, 'Why so blue?'
Said, 'I haven't a clue
I'm 2 Down to put 1 Across.'",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I'm papering walls in the loo
And quite frankly I haven't a clue;
For the pattern's all wrong
(Or the paper's too long)
And I'm stuck to the toilet with glue.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There once was an old man of Esser,
Whose knowledge grew lesser and lesser,
It at last grew so small
He knew nothing at all
And now he's a college professor.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"To compose a sonata today,
Don't proceed in the old-fashioned way:
With your toes on the keys,
Bang the floor with your knees:
""Oh how modern!"" the critics will say.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Limericks I cannot compose,
With noxious smells.
But this one was easy,
I only felt queasy,
Because I was sniffing my toes.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a young woman,
Whose speed was much faster than light.
She set out one day,
In a relative way,
And returned on the previous night.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was an odd fellow,
When traveling he made such a fuss.
He was banned from the train,
Not allowed on a plane,
And now travels only by bus.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There once was a fly,
I wonder, why didn’t it fall?
Because its feet stuck?
Or was it just luck?
Or does gravity miss things so small?",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There once was a man from Tibet,
Who couldn't find a cigarette
So he smoked,
and got chicken-pox,
and had to go to the vet.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"I need a front door,
The replacement I bought was too tall.
So I hacked it and chopped it,
And carefully lopped it,
And now the dumb thing is too small.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There once was a boy named Dan,
who wanted to fry.
He tried and he tried,
and eventually died,
that weird little boy named Dan.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A newspaperman named Fling,
Could make ""copy"" from any old thing.
But the copy he wrote,
Of a five-dollar,
Was so good he now wears so much bling.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"I know an old owl named Boo,
Every night he yelled,
Once a kid walked by,
And started to cry,
And yelled I don't have a clue!",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"I once fell in love,
But found that she wasn't so fond.
Of my pet turtle named Odle,
whom I'd taught how to Yodel,
So she dumped him outside in the pond.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"I'd rather have Fingers than Toes,
I'd rather have Ears than a Nose.
And as for my Hair,
I'm glad otherwise,
I'll be awfully sad, when it goes.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a Young Lady whose chin
Resembled the point of a pin:
So she had it made sharp,
And purchased a guitar,
And played several tunes with her chin.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"Hickory Dickory dock,
the mouse ran up the clock;
the clock struck eight
and down he run;
hickory Dickory dock.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a faith-healer of Deal,
Who said: ""Although pain isn't real,
If I sit on a needle
And it punctures my skin,
I dislike what I fancy I feel.'",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"My dog is really quite hip,
Except when he takes a cold dip.
He looks like a idiot,
when he jumps in the pool,
and reminds me of a sinking ship.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A painter, who lived in Great Britain,
Interrupted two girls with their knitting,
He said, with a nervousness,
That park bench--well I,
Just painted it, right where you're sitting.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There is a young schoolboy named Mason,
Whose mom cuts his hair with a basin.
When he stands in one location,
With a scarf round his face,
It's a mystery which way he’s facing.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a young schoolboy of Rye,
Who was baked by mistake in a cake.
To his mother’s disgust,
He emerged through the crust,
And exclaimed, with a yawn, Where am I?",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"An elderly man called Keith,
Mislaid his set of false teeth.
They'd been laid on a table,
He'd forgot they were there,
Sat down, and was bitten beneath.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was an old man,
Who dreamt he was eating his shoe.
He woke in the night,
With a terrible fright,
And found it was perfectly true.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"The incredible Wizard of Oz,
Retired from his business.
Due to up-to-date science,
To most of his clients,
He wasn't the Wizard he woz.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"Once I visited England,
And learned a new, awesome dance.
I twirled,
And I swirled,
I lost my pants.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"Is it me,
That's odd and particularly funny.
But when I have dough,
It goes quickly, you know,
And seeps out of my pockets like honey.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There once was a farmer,
Who swallowed a packet of seeds.
It soon came to pass,
He was covered with grass,
But has all the tomatoes he needs.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A fellow jumped,
And had a most terrible fall.
He went back to bed,
With a bump on his head,
That's why you don't jump off a wall.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A man and his lady-love,
Skated out where the ice was quite thin.
Had a quarrel, no doubt,
For I hear they fell out,
What a blessing they didn't fall in!",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a young lady of Cork,
Whose Pa made a fortune in pork.
He bought for his child,
A tutor who taught her,
To balance green peas on her fork.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There once was a Martian called Zed
With antennae all over his head.
He sent out a ton
Di-di-dash-di-dot
But nobody knew what he said!",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There once was a girl named Sam
Who did not eat roast beef and ham
She ate a green banana
Then drank some Snapple
Some say she eats like a lamb.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"Said the man
'But I love you'
From the girl
'You are truly absurd!
I have only this",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A wonderful bird
His beak can hold
He can hold in his beak
Enough food for a week!
But I’ll be darned",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was once a great man
Whose name
It lasted through Sunday
Till twilight on Monday
And it sounded like stones",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a young man
He never knew
He would go to a party
And eat just as hearty,
As if he'd been really invited.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was an old man
Whose limericks never would scan.
When told this was so,
He said, 'yes, I know.
'But I always try to get as many syllables'",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A maiden at college,
Weighed down,
Collapsed,
Said her doctor
You are killing yourself",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A canner
One morning
""A canner can can
Anything that he can;
But a canner can't can a can""",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A mouse in her room
She was frightened
Soon a happy thought
To scare off the critter,
She sat up in bed",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a young woman
Whose speed was much faster
She set out one day,
In a relative way,
And returned",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A flea and a fly
Were imprisoned?
Said the fly, ""Let us flee!""
""Let us fly,"" said the flea,
And they flew through a flaw.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A major,
Called out in Hyde Park for a horse.
All the flowers looked round,
But no horse could be found;
So he just rhododendron.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A nifty young flapper
While walking.
She ran--almost flew,
Her complexion did too,
And she reached home.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"""There's a train at 4:04,""
""Four tickets I'll take;?""
Said the man,
""Not four for 4:04,
For four for 4:04 is too many.""",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A canny young fisher
Once fished from the edge.
A fish with a grin
Pulled the fisherman in—
Now they're fishing.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A cheerful old bear
Could always find something.
When it bored him, you know,
To walk to and fro,
He reversed it.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"The bottle of perfume
Was highly displeasing;
Her thanks were so cold
They quarreled, I'm told,
Through that silly scent Willie sent Millicent.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"I bought,
Plugged it in,
Switched it on;
It sucked everything,
Now I'm homeless.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"A crossword compiler
Who found himself
When asked, 'Why so blue?'
Said, 'I haven't a clue
I'm 2 Down'",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"I'm papering walls
And quite frankly;
For the pattern's all wrong
(Or the paper's too long)
And I'm stuck to the toilet.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There once was an old man of Esser,
Whose knowledge grew lesser and lesser,
It at last grew
He knew nothing
And now he's a college professor.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"To compose a sonata today,
Don't proceed in the old-fashioned way:
With your toes
Bang the floor
""Oh how modern!"" the critics will say.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"COWARD
Bravery runs in my family.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Quid faciat volt scire Lyris; quod sobria; fellat.
Lyris wants to know what she is doing; the same thing she does when sober; sucking dick.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Omni,  Castor, emis:  sic fiet, ut omnia vendas.
You buy everything, Castor. This way you’ll end up selling everything",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Pauper videri Cinna vult; et est pauper.
Cinna wants to seem poor and he is.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Winter Echo
Thin air! My mind is gone.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Spring Song
My doorframe smells of leaves.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"God of Roads
I, peregrine of noon.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Noon
Did you move, in the sun?",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"THE CATHEDRAL IS
slated for demolition.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"I HAD THOUGHT THINGS WERE GOING ALONG WELL
But I was mistaken.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"OUT OVER THE BAY THE RATTLE OF FIRECRACKERS
And, in the adjacent waters, calm.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"WE WERE ON THE TERRACE DRINKING GIN AND TONICS
When the squall hit.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Night occurs dimmer each time with the pieces of light smaller and squarer
A blue anchor grains of grit in a tall sky sewing
The wedding was enchanted everyone was glad to be in it",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Sleep
border with no country",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"“To Thine Own Self Be True”
As if you had a choice",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Premature Ejaculation
I’m sorry this poem’s already finished",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Physics
Is death curved, like the universe?",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Silence
All bells hate their clappers",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Snow
The dead are dreaming of breathing

",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Tompkins Square Lower East Side N.Y.
Four skinheads stand in the streetlight rain chatting under an umbrella.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"The cry of the cicada
Gives us no sign
That presently it will die.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Between Babylon 
and the sea, I’ve built a home 
with the sea’s whispers. ",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"If every bomb 
Appeared in the sky a dove
Shrapnel into rain",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"If vengeance vanquished 
From the cursed lips of weak men
An idea never taking root",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"If every tank vanished
If by chance a miracle
Peace reclaims the land",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"If laughter broke out
Like wars fought with satire’s
Pugilist punning",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"What room would there be
For anger what bitter root
Not allowed to stretch",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Its tentacles 
Through the hearts of men hardened
By indifference ",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"What will we bequeath 
Our children if not a world
Evermore human",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Life goes by moving,
Up and down a chain of moods
Wanting what’s nothing",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"My soul is the wind
Dashing down fields of Autumn:
O, too swift to sing.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Listen to the rain
Falling broken on the ground:
Pity the sky once.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Knowing not at all
Who stands above me seeing:
Tears of gratitude.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"The nightingale sings
My heart desires but the night
Space swallows my voice:",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"I shall spend my moods
Like a rose discards leaves
And die without moods.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Did you say a sound?
Did you say the wind? Dashing
Only my soul’s quick—",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"O moon of to-night
Let me rest my head on you
And hear my life sing.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"My ears burn for speech
And you lie cold and silent
Supinely cruel:",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Look at the white moon
The sphinx does not question more.
Turn away your eyes.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Thought that is no thought
Poems buried in my heart
Song that is no song …",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"The poetry of life?
No, the picture of my dreams
Flashing on my heart.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"What will suffice for a true-love knot? Even the rain?
But he has bought grief’s lottery, bought even the rain.

“Our glosses / wanting in this world”—“Can you remember?”
Anyone!—“when we thought / the poets taught” even the rain?

After we died—That was it!—God left us in the dark.
And as we forgot the dark, we forgot even the rain.

Drought was over. Where was I? Drinks were on the house.
For mixers, my love, you’d poured—what?—even the rain.

Of this pear-shaped orange’s perfumed twist, I will say:
Extract Vermouth from the bergamot, even the rain.

How did the Enemy love you—with earth? air? and fire?
He held just one thing back till he got even: the rain.

This is God’s site for a new house of executions?
You swear by the Bible, Despot, even the rain?

After the bones—those flowers—this was found in the urn:
The lost river, ashes from the ghat, even the rain.

What was I to prophesy if not the end of the world?
A salt pillar for the lonely lot, even the rain.

How the air raged, desperate, streaming the earth with flames—
To help burn down my house, Fire sought even the rain.

He would raze the mountains, he would level the waves;
he would, to smooth his epic plot, even the rain.

New York belongs at daybreak to only me, just me—
To make this claim Memory’s brought even the rain.

They’ve found the knife that killed you, but whose prints are these?
No one has such small hands, Shahid, not even the rain.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"They say when the time comes for a swan to die,
it goes where other swans have gone to die.

They say as the last night begins to fall,
it trails behind the setting sun to die.

And it sings ghazals, as though it wished between
the pages of its own divan to die.

They say a swan loves only once and will
return to where its love was won to die.

Making its deathbed where it first made love,
it can forget it has withdrawn to die.

Are these tales true? In the desert, where I live,
no swan has come, not a single one, to die.

But then they say that swans return to water,
in whose embrace life was begun, to die.

Open your arms, my dear, and slake my thirst:
the time has come for one more swan to die.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
